trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub231,,bl
1,0,0,0,sub231,,bl
2,0,1,0,sub231,,bl
3,1,0,0,sub231,,bl
4,1,0,0,sub231,,bl
5,1,0,0,sub231,,bl
6,0,1,0,sub231,,bl
7,0,1,0,sub231,,bl
8,1,1,0,sub231,,bl
9,1,0,0,sub231,,bl
10,1,0,0,sub231,,bl
11,0,0,0,sub231,,bl
12,1,0,0,sub231,,bl
13,0,0,0,sub231,,bl
14,1,1,0,sub231,,bl
15,1,1,0,sub231,,bl
16,1,1,0,sub231,,bl
17,0,0,0,sub231,,bl
18,0,0,0,sub231,,bl
19,0,0,0,sub231,,bl
20,1,0,0,sub231,,bl
21,1,0,0,sub231,,bl
22,0,0,0,sub231,,bl
23,0,0,0,sub231,,bl
24,1,0,0,sub231,,bl
25,0,0,0,sub231,,bl
26,0,1,0,sub232,,MA
27,1,0,0,sub232,,MA
28,1,0,0,sub232,,MA
29,1,1,0,sub232,,MA
30,1,0,0,sub232,,MA
31,0,1,0,sub232,,MA
32,1,0,0,sub232,,MA
33,0,1,0,sub232,,MA
34,0,1,0,sub232,,MA
35,1,1,0,sub232,,MA
36,1,1,0,sub232,,MA
37,1,1,0,sub232,,MA
38,0,1,0,sub232,,MA
39,0,1,0,sub232,,MA
40,1,0,0,sub232,,MA
41,0,0,0,sub232,,MA
42,1,1,0,sub232,,MA
43,1,0,0,sub232,,MA
44,0,1,0,sub232,,MA
45,1,0,0,sub232,,MA
46,0,1,0,sub232,,MA
47,0,1,0,sub232,,MA
48,0,0,0,sub232,,MA
49,0,1,0,sub232,,MA
50,1,0,0,sub232,,MA
51,1,1,0,sub232,,MA
52,1,0,0,sub232,,MA
53,1,0,0,sub232,,MA
54,0,0,0,sub232,,MA
55,0,0,0,sub232,,MA
56,0,1,0,sub232,,MA
57,0,0,0,sub232,,MA
58,1,1,0,sub233,,exit
59,1,1,0,sub233,,exit
60,1,1,0,sub233,,exit
61,0,1,0,sub233,,exit
62,0,1,0,sub233,,exit
63,1,1,0,sub233,,exit
64,0,0,0,sub233,,exit
65,1,1,0,sub233,,exit
66,1,1,0,sub233,,exit
67,0,1,0,sub233,,exit
68,0,0,0,sub233,,exit
69,1,0,0,sub233,,exit
70,1,0,0,sub233,,exit
71,0,1,0,sub233,,exit
72,1,0,0,sub233,,exit
73,1,1,0,sub233,,exit
74,1,0,0,sub233,,exit
75,0,0,0,sub233,,exit
76,0,1,0,sub233,,exit
77,0,1,0,sub233,,exit
78,0,0,0,sub233,,exit
79,1,1,0,sub233,,exit
80,1,0,0,sub233,,exit
81,0,0,0,sub233,,exit
82,1,1,0,sub233,,exit
83,0,0,0,sub233,,exit
84,1,1,0,sub233,,exit
85,0,1,0,sub233,,exit
86,1,1,0,sub233,,exit
87,0,1,0,sub233,,exit
88,0,0,0,sub233,,exit
89,0,0,0,sub233,,exit
