trial,inSync,response,isFeedback,srcFile,day,session
0,1,0,0,sub20bl,,bl
1,1,1,0,sub20bl,,bl
2,1,0,0,sub20bl,,bl
3,0,1,0,sub20bl,,bl
4,1,1,0,sub20bl,,bl
5,1,0,0,sub20bl,,bl
6,0,1,0,sub20bl,,bl
7,1,1,0,sub20bl,,bl
8,0,1,0,sub20bl,,bl
9,0,0,0,sub20bl,,bl
10,0,1,0,sub20bl,,bl
11,0,1,0,sub20bl,,bl
12,1,0,0,sub20bl,,bl
13,0,0,0,sub20bl,,bl
14,1,1,0,sub20bl,,bl
15,0,1,0,sub20bl,,bl
16,1,0,0,sub20bl,,bl
17,1,1,0,sub20bl,,bl
18,0,0,0,sub20bl,,bl
19,1,1,0,sub20bl,,bl
20,0,0,0,sub20bl,,bl
21,0,1,0,sub20bl,,bl
22,1,0,0,sub20bl,,bl
23,1,1,0,sub20bl,,bl
24,0,1,0,sub20bl,,bl
25,0,0,0,sub20bl,,bl
26,0,1,0,sub20MA,,MA
27,0,0,0,sub20MA,,MA
28,0,0,0,sub20MA,,MA
29,1,1,0,sub20MA,,MA
30,1,1,0,sub20MA,,MA
31,1,1,0,sub20MA,,MA
32,1,0,0,sub20MA,,MA
33,0,1,0,sub20MA,,MA
34,1,0,0,sub20MA,,MA
35,0,1,0,sub20MA,,MA
36,1,1,0,sub20MA,,MA
37,0,0,0,sub20MA,,MA
38,0,1,0,sub20MA,,MA
39,1,1,0,sub20MA,,MA
40,1,1,0,sub20MA,,MA
41,0,1,0,sub20MA,,MA
42,1,1,0,sub20MA,,MA
43,0,0,0,sub20MA,,MA
44,0,1,0,sub20MA,,MA
45,1,0,0,sub20MA,,MA
46,1,1,0,sub20MA,,MA
47,1,0,0,sub20MA,,MA
48,0,0,0,sub20MA,,MA
49,0,1,0,sub20MA,,MA
50,0,1,0,sub20MA,,MA
51,1,0,0,sub20MA,,MA
52,1,1,0,sub20exit,,exit
53,1,1,0,sub20exit,,exit
54,1,1,0,sub20exit,,exit
55,0,1,0,sub20exit,,exit
56,0,1,0,sub20exit,,exit
57,0,0,0,sub20exit,,exit
58,0,0,0,sub20exit,,exit
59,0,0,0,sub20exit,,exit
60,0,1,0,sub20exit,,exit
61,1,0,0,sub20exit,,exit
62,0,1,0,sub20exit,,exit
63,1,0,0,sub20exit,,exit
64,1,1,0,sub20exit,,exit
65,1,0,0,sub20exit,,exit
66,0,0,0,sub20exit,,exit
67,0,0,0,sub20exit,,exit
68,1,0,0,sub20exit,,exit
69,1,1,0,sub20exit,,exit
70,0,1,0,sub20exit,,exit
71,1,1,0,sub20exit,,exit
72,1,1,0,sub20exit,,exit
73,0,0,0,sub20exit,,exit
74,0,1,0,sub20exit,,exit
75,0,0,0,sub20exit,,exit
76,1,1,0,sub20exit,,exit
77,1,0,0,sub20exit,,exit
